 আওয়ামী মোবাইল - সেরা দামে ফালতু ফোন | মি আওয়ামী | ১৭ বছরের গ্যারান্টি
 ভণ্ড ফ্লাইওভার – গরম বাতাসে ঘর ভরিয়ে দেয় | ফাঁকা | ১ মিনিটের গ্যারান্টি
 উড়াধুড়া ফ্যান – ১০০% স্লো চার্জের গ্যারান্টি | ফাঁকা | কোনো গ্যারান্টি নেই
 ভণ্ড ড্রিংকস – ঠাণ্ডা করবে না বরফ জমাবে মেঝেতে | ভণ্ড | লাইফটাইম শক
 পলাইম পারফিউম – ক্লিক হবে শতবার কিন্তু কাজ হবে না একবার | ওবায়দুল রোডস | ৫ মিনিটের ওয়ারেন্টি
 পাগলা ক্যামেরা – ডিসপ্লে আছে আলো নাই | মি আওয়ামী | ১০০ বছরের ওয়ারেন্টি
 অনন্ত লেন্স – প্লাগ ঢোকালে শক মারবে | ধান্দা ডিসপ্লে | লাইফটাইম ধোঁকা
 পলাইম টুথপেস্ট – প্লাগ ঢোকালে শক মারবে | ঠকবাজ | ৫০ বছরের ওয়ারেন্টি
 মামুনুল এসি – মশলা পিষবে না শুধুই গর্জন | পাগলা ওয়াটার | জিরো টেষ্ট
 ফাঁকি ফ্যান – সড়ক ফাঁকা কিন্তু গাড়ি চলবে না | ধান্দা | ১০-১০ ব্লাইন্ড গ্যারান্টি
 জনি সিং টিভি – মাথা বাঁচাবে না উল্টো ঘেমে একাকার | পালিয়ে এন্টারপ্রাইজ | ১ মিনিটের গ্যারান্টি
 পলাইম পারফিউম – নেটওয়ার্ক ছাড়া ফালতু স্পিড | ফাঁকি | লাইফটাইম ট্রমা
 ভণ্ড পেন্ট – মাথা বাঁচাবে না উল্টো ঘেমে একাকার | ফাঁকা | ৫ মিনিটের ওয়ারেন্টি
 হিরো আলম ফিল্টার – ডিসপ্লে আছে আলো নাই | ভণ্ড ভয়েস | নো গ্যারান্টি
 ধান্দাবাজ মিউজিক সিস্টেম – কফির বদলে গরম পানি দেবে | পাগলা ওয়াটার | কোনো গ্যারান্টি নেই
 হেলেনা মনিটর – ক্লিক হবে শতবার কিন্তু কাজ হবে না একবার | পলাইম | জিরো টেষ্ট
 পাপিয়া মিউজিক সিস্টেম – পিপাসা মিটবে না পেট খারাপ নিশ্চিত | ফাঁকি ওয়্যার | ১০০ বছরের ওয়ারেন্টি
 পাগলা ফিল্টার – ডিসপ্লে আছে আলো নাই | ঠকবাজ টেক | লাইফটাইম ট্রমা
 ঠকবাজ পেন্ট – ২ পার্সেন্টে চার্জ শেষ | ঠকবাজ টেক | গ্যারান্টি নাই
 ঠকবাজ এয়ারলাইন্স – ডিসপ্লে আছে আলো নাই | পলাইম | কোনো গ্যারান্টি নেই
 পাকনামো পারফিউম – পেডেল ঘুরবে কিন্তু চাকা ঘুরবে না | খলিফা ভিশন | নো গ্যারান্টি
 ঝাপসা এয়ারলাইন্স – ক্লিক হবে শতবার কিন্তু কাজ হবে না একবার | ভণ্ড ভয়েস | লাইফটাইম ধোঁকা
 ফাঁকি ফ্লাইওভার – সময় দেখাবে না শুধুই শূন্যতা | ফেকপ্যাড | ১ মিনিটের গ্যারান্টি
 উড়াধুড়া ক্যামেরা – উড়াল দেবে কিন্তু ল্যান্ডিংয়ের ঠিকানা নাই | পালিয়ে এন্টারপ্রাইজ | ৫ মিনিটের ওয়ারেন্টি
 মিয়া খলিফা ড্রিংকস – টেক-অফ করবে কিন্তু ফিরবে না | ফাঁকা | গ্যারান্টি নাই
 হিরো আলম স্পিকার – বাটন টিপলেই স্প্রিং খুলে বাইরে আসবে | হিরো অফিসিয়াল | লাইফটাইম ট্রমা
 উড়াধুড়া প্রজেক্টর – নেটওয়ার্ক ছাড়া ফালতু স্পিড | জনি টেক | ১০-১০ ব্লাইন্ড গ্যারান্টি
 সাকিব হেলিকপ্টার – সিগন্যাল ফুল কিন্তু স্পিড জিরো | ফেকপ্যাড | লাইফটাইম শক
 আওয়ামী ঘড়ি – তেল খাবে বেশি চলবে কম | ধান্দা ডিসপ্লে | নো গ্যারান্টি
 ঠকবাজ বাইক – মাথা বাঁচাবে না উল্টো ঘেমে একাকার | চুক্তি ফ্যাব্রিকস | ১০০ বছরের ওয়ারেন্টি
 পাগলা মোবাইল – অন করতেই অফ ব্যাটারি ডাউন | ফাঁকা এনার্জি | ১০০ বছরের ওয়ারেন্টি
 ধোঁকাবাজ এসি – বাটন টিপলেই স্প্রিং খুলে বাইরে আসবে | উড়া ব্ল্যাক | নো গ্যারান্টি
 ধোঁকাবাজ প্রজেক্টর – শুধু তেলের তেলতেলে ভাব কোনো কাজ নেই | ওবায়দুল মেগা সাউন্ড | নো রিটার্ন
 কাদের গেমিং চেয়ার – সিগন্যাল ফুল কিন্তু স্পিড জিরো | মি আওয়ামী | জিরো টেষ্ট
 ঠকবাজ ওয়াইফাই রাউটার – ১০০% স্লো চার্জের গ্যারান্টি | ধান্দা | নো রিটার্ন
 ভুয়া স্মার্টওয়াচ – ২ পার্সেন্টে চার্জ শেষ | ফাঁকি ওয়্যার | ১ মিনিটের গ্যারান্টি
 জনি সিং বাল্ব – টেক-অফ করবে কিন্তু ফিরবে না | পলাইম | লাইফটাইম শক
 মিয়া খলিফা ফ্লাইওভার – চুক্তি হবে কিন্তু স্থায়িত্ব এক রাতের | হিরো অফিসিয়াল | পালি গোল্ডেন ওয়ারেন্টি
 ধোঁকাবাজ প্রজেক্টর – মিউজিক বাজলে কান ফেটে রক্ত আসবে | খলিফা ভিশন | লাইফটাইম শক
 অনন্ত অয়েল – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | হিরো স্পিকার | লাইফটাইম ট্রমা
 পাপিয়া কফি মেকার – সবকিছু ঝাপসা উদাম দেখাবে | ফেক সিট | ৩ সেকেন্ডের ওয়ারেন্টি
 হিরো আলম স্মার্টওয়াচ – এক কানে সাউন্ড অন্য কানে নীরবতা | পলাইম | এক মিনিটের ওয়ারেন্টি
 আওয়ামী ক্যামেরা – পানি গরম হবে না কারেন্ট বিল ডাবল | ঠকবাজ টেক | ১ মিনিটের গ্যারান্টি
 ভণ্ড মোবাইল – নেটওয়ার্ক ছাড়া ফালতু স্পিড | ফেক পাওয়ার | ৫ মিনিটের ওয়ারেন্টি
 জনি সিং ফ্যান – প্লাগ ঢোকালে শক মারবে | পলাইম | জিরো স্পীড
 ভণ্ড মনিটর – টেক-অফ করবে কিন্তু ফিরবে না | খলিফা ভিশন | লাইফটাইম শক
 মিয়া খলিফা সাবান – বসলেই ভাঙবে কোমর ব্যথার প্রিমিয়াম গ্যারান্টি | ঠকবাজ নেট | ৫ মিনিটের ওয়ারেন্টি
 ঝাপসা সাউন্ডবার – শুধু তেলের তেলতেলে ভাব কোনো কাজ নেই | ঠকবাজ | জিরো ওয়ারেন্টি
 হেলেনা লেন্স – মশলা পিষবে না শুধুই গর্জন | চুক্তি ফ্যাব্রিকস | লাইফটাইম সাইলেন্স
 পাগলা সাবান – ২ পার্সেন্টে চার্জ শেষ | ঠকবাজ | গ্যারান্টি নাই
 মামুনুল সাবান – প্লাগ ঢোকালে শক মারবে | ঠকবাজ | ৫ মিনিটের ওয়ারেন্টি
 পলাইম অয়েল – পিপাসা মিটবে না পেট খারাপ নিশ্চিত | বর্ডার এয়ার | লাইফটাইম ধোঁকা
 উড়াধুড়া পাসপোর্ট – ডিসপ্লে আছে আলো নাই | ভণ্ড ভয়েস | ৫ মিনিটের ওয়ারেন্টি
 জনি সিং বাইপাস – পানি গরম হবে না কারেন্ট বিল ডাবল | ঠকবাজ | গ্যারান্টি নাই
 পাপিয়া গেমিং চেয়ার – সেরা দামে ফালতু ফোন | ফাঁকা | ৫ মিনিটের ওয়ারেন্টি
 কাদের সাউন্ডবার – টেক-অফ করবে কিন্তু ফিরবে না | ঠকবাজ নেট | কোনো গ্যারান্টি নেই
 মামুনুল পাওয়ার ব্যাংক – কান ফাটা সুর সুরের গ্যারান্টি নাই | জনি টেক | ১৭ বছরের গ্যারান্টি
 মামুনুল ল্যাপটপ – সড়ক ফাঁকা কিন্তু গাড়ি চলবে না | পাকনামো ফ্যাশন | লাইফটাইম সাইলেন্স
 অনন্ত সাবান – পানি গরম হবে না কারেন্ট বিল ডাবল | ধান্দা জুস | লাইফটাইম ধোঁকা
 পলাইম হেলমেট – দেখতে ঝাপসা ব্লার এইচডি লুক | ফেক পাওয়ার | ১ মিনিটের গ্যারান্টি
 ফাঁকা পাওয়ার ব্যাংক – পেডেল ঘুরবে কিন্তু চাকা ঘুরবে না | ফেক পাওয়ার | গ্যারান্টি নাই
 পাকনামো মাইক – কথা হবে চিল্লাচিল্লি তথ্যে শূন্য | ফেক সিট | ১০০ বছরের ওয়ারেন্টি
 হাসিনা ড্রিংকস – আলো দেবে না শুধুই বিল তুলবে | ডায়াল ইন্ডিয়া | ৫০ বছরের ওয়ারেন্টি
 সাকিব সিম – সময় দেখাবে না শুধুই শূন্যতা | হিরো স্পিকার | জিরো ওয়ারেন্টি
 পাকনামো স্মার্টওয়াচ – ছবি উঠবে ঘোলা চেহারা হবে ভূতের মতো | ফাঁকি | জিরো টেষ্ট
 জনি সিং সাউন্ডবার – ছবি উঠবে ঘোলা চেহারা হবে ভূতের মতো | ফেক সিট | এক মিনিটের ওয়ারেন্টি
 ফাঁকি চশমা – পেডেল ঘুরবে কিন্তু চাকা ঘুরবে না | ফাঁকি ওয়্যার | পালি গোল্ডেন ওয়ারেন্টি
 মামুনুল ফ্লাইওভার – ক্লিক হবে শতবার কিন্তু কাজ হবে না একবার | উড়া ব্ল্যাক | ৩ সেকেন্ডের ওয়ারেন্টি
 ঠকবাজ টুথপেস্ট – নেটওয়ার্ক ছাড়া ফালতু স্পিড | মি আওয়ামী | ৩ সেকেন্ডের ওয়ারেন্টি
 সাকিব ফ্রিজ – গরম বাতাসে ঘর ভরিয়ে দেয় | পলাইম | লাইফটাইম শক
 পলাইম ড্রিংকস – অন করতেই অফ ব্যাটারি ডাউন | শেখ এন্টারপ্রাইজ | নো রিটার্ন
 জনি সিং স্মার্টওয়াচ – কফির বদলে গরম পানি দেবে | পাকনামো ফ্যাশন | ১০০ বছরের ওয়ারেন্টি
 পাগলা গেমিং চেয়ার – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | ফেক সিট | ১৭ বছরের গ্যারান্টি
 হেলেনা টিভি – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | ঠকবাজ | লাইফটাইম ধোঁকা
 ফাঁকি বাইক – গরম বাতাসে ঘর ভরিয়ে দেয় | ওবায়দুল মেগা সাউন্ড | পালি গোল্ডেন ওয়ারেন্টি
 ভুয়া প্রজেক্টর – দেখতে ঝাপসা ব্লার এইচডি লুক | ধোঁকা কাফে | কোনো গ্যারান্টি নেই
 হেলেনা কীবোর্ড – অন করতেই অফ ব্যাটারি ডাউন | ফাঁকা এনার্জি | মাইনাস ওয়ারেন্টি
 ফাঁকি পাওয়ার ব্যাংক – আলো দেবে না শুধুই বিল তুলবে | চুক্তি ফ্যাব্রিকস | পালি গোল্ডেন ওয়ারেন্টি
 হাসিনা মোবাইল – প্লাগ ঢোকালে শক মারবে | শেখ এন্টারপ্রাইজ | নো গ্যারান্টি
 ফাঁকি মিউজিক সিস্টেম – সবকিছু ঝাপসা উদাম দেখাবে | চুক্তি ফ্যাব্রিকস | লাইফটাইম শক
 আওয়ামী বাইক – নেটওয়ার্ক ছাড়া ফালতু স্পিড | ওবায়দুল মেগা সাউন্ড | লাইফটাইম শক
 হাসিনা কফি মেকার – ছবি উঠবে ঘোলা চেহারা হবে ভূতের মতো | ওবায়দুল মেগা সাউন্ড | লাইফটাইম সাইলেন্স
 মিয়া খলিফা ফ্যান – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | পালিয়ে এন্টারপ্রাইজ | গ্যারান্টি নাই
 ধান্দাবাজ চশমা – সময় দেখাবে না শুধুই শূন্যতা | ঠকবাজ | নো রিটার্ন
 ফাঁকা সাউন্ডবার – বাফারিং হবে লাইফটাইম | ওবায়দুল মেগা সাউন্ড | ৫ মিনিটের ওয়ারেন্টি
 কাদের পাসপোর্ট – এক মিনিটেই ফুল ডিসচার্জ | ভণ্ড | ১০০ বছরের ওয়ারেন্টি
 ঠকবাজ শার্ট – এক মিনিটেই ফুল ডিসচার্জ | ফাঁকি ওয়্যার | পালি গোল্ডেন ওয়ারেন্টি
 কাদের শার্ট – গরম বাতাসে ঘর ভরিয়ে দেয় | জনি টেক | গ্যারান্টি নাই
 ঝাপসা হেডফোন – শুধু তেলের তেলতেলে ভাব কোনো কাজ নেই | ভণ্ড ভয়েস | নো রিটার্ন
 ভুয়া শার্ট – এক কানে সাউন্ড অন্য কানে নীরবতা | ঠকবাজ টেক | ১৭ বছরের গ্যারান্টি
 হেলেনা অয়েল – উড়াল দেবে কিন্তু ল্যান্ডিংয়ের ঠিকানা নাই | ধোঁকা কাফে | পালি গোল্ডেন ওয়ারেন্টি
 জনি সিং পেন্ট – ডিসপ্লে আছে আলো নাই | পাগলা ওয়াটার | নো গ্যারান্টি
 ধোঁকাবাজ এয়ারলাইন্স – পিপাসা মিটবে না পেট খারাপ নিশ্চিত | ধোঁকা কাফে | ১৭ বছরের গ্যারান্টি
 হিরো আলম ল্যাপটপ – পাসপোর্ট প্রস্তুত কিন্তু ফ্লাইট মিস | ফেকপ্যাড | গ্যারান্টি নাই
 হিরো আলম প্রজেক্টর – মিউজিক বাজলে কান ফেটে রক্ত আসবে | পাগলা ওয়াটার | এক মিনিটের ওয়ারেন্টি
 উড়াধুড়া প্রজেক্টর – কথা হবে চিল্লাচিল্লি তথ্যে শূন্য | ধান্দা | ১০-১০ ব্লাইন্ড গ্যারান্টি
 পাকনামো অয়েল – অন করতেই অফ ব্যাটারি ডাউন | ফাঁকি | ১ সেকেন্ডের ওয়ারেন্টি
 উড়াধুড়া মোবাইল – সিগন্যাল ফুল কিন্তু স্পিড জিরো | জনি গোল্ড | নো রিটার্ন
 উড়াধুড়া সিম – প্লাগ ঢোকালে শক মারবে | ঝাপসা হোম | লাইফটাইম ট্রমা
 হিরো আলম সাবান – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | ফাঁকা এনার্জি | ৫০ বছরের ধোঁকা
 হেলেনা সাউন্ডবার – পেডেল ঘুরবে কিন্তু চাকা ঘুরবে না | হিরো স্পিকার | ১ সেকেন্ডের ওয়ারেন্টি
 ভুয়া টিভি – নামবে বেশি পৌঁছাবে কম | জনি গোল্ড | লাইফটাইম সাইলেন্স
 হেলেনা ফিল্টার – পাসপোর্ট প্রস্তুত কিন্তু ফ্লাইট মিস | উড়া ব্ল্যাক | ১০-১০ ব্লাইন্ড গ্যারান্টি
 ফাঁকা মোবাইল – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | পাকনামো ফ্যাশন | কোনো গ্যারান্টি নেই
 উড়াধুড়া শার্ট – ছবি উঠবে ঘোলা চেহারা হবে ভূতের মতো | ঝাপসা হোম | ৩ সেকেন্ডের ওয়ারেন্টি
 পাগলা বাইপাস – দেখতে ঝাপসা ব্লার এইচডি লুক | ফাঁকা এনার্জি | মাইনাস ওয়ারেন্টি
 কাদের জুতা – আলো দেবে না শুধুই বিল তুলবে | পাকনামো ফ্যাশন | জিরো স্পীড
 হেলেনা কীবোর্ড – বাফারিং হবে লাইফটাইম | ধোঁকা কাফে | ৫০ বছরের ওয়ারেন্টি
 ভণ্ড ঘড়ি – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | ঠকবাজ টেক | কোনো গ্যারান্টি নেই
 মিয়া খলিফা চার্জার – হাওয়া ছাড়া শুধুই বিকট শব্দ | ফাঁকি ওয়্যার | মাইনাস ওয়ারেন্টি
 সাকিব পেন্ট – নেটওয়ার্ক ছাড়া ফালতু স্পিড | ভণ্ড ভয়েস | লাইফটাইম সাইলেন্স
 পাপিয়া ফ্রিজ – শুধু তেলের তেলতেলে ভাব কোনো কাজ নেই | জনি টেক | মাইনাস ওয়ারেন্টি
 মামুনুল স্মার্টওয়াচ – শব্দ হবে বেশি কাজ হবে জিরো | মি আওয়ামী | জিরো ওয়ারেন্টি
 উড়াধুড়া হেডফোন – পাসপোর্ট প্রস্তুত কিন্তু ফ্লাইট মিস | ফেক সিট | ৩ সেকেন্ডের ওয়ারেন্টি
 হাসিনা টিভি – সময় দেখাবে না শুধুই শূন্যতা | ধান্দা | ৩ সেকেন্ডের ওয়ারেন্টি
 মিয়া খলিফা হেলিকপ্টার – সিগন্যাল ফুল কিন্তু স্পিড জিরো | ঝাপসা হোম | ৩ সেকেন্ডের ওয়ারেন্টি
 সাকিব সাবান – কথা হবে চিল্লাচিল্লি তথ্যে শূন্য | চুক্তি ফ্যাব্রিকস | লাইফটাইম শক
 পাগলা মিউজিক সিস্টেম – চুক্তি হবে কিন্তু স্থায়িত্ব এক রাতের | বর্ডার এয়ার | পালি গোল্ডেন ওয়ারেন্টি
 ভণ্ড কীবোর্ড – ডিসপ্লে আছে আলো নাই | ফেক সিট | মাইনাস ওয়ারেন্টি
 পাপিয়া স্মার্টওয়াচ – ডিসপ্লে আছে আলো নাই | বর্ডার এয়ার | ৫০ বছরের ওয়ারেন্টি
 অনন্ত হেলমেট – সময় দেখাবে না শুধুই শূন্যতা | ধান্দা ডিসপ্লে | এক মিনিটের ওয়ারেন্টি
 ঠকবাজ গেমিং চেয়ার – আলো দেবে না শুধুই বিল তুলবে | শেখ এন্টারপ্রাইজ | লাইফটাইম ধোঁকা
 ভণ্ড ফিল্টার – শব্দ হবে বেশি কাজ হবে জিরো | খলিফা ভিশন | ৫০ বছরের ওয়ারেন্টি
 উড়াধুড়া সাউন্ডবার – প্লাগ ঢোকালে শক মারবে | ভণ্ড ভয়েস | লাইফটাইম সাইলেন্স
 হাসিনা চশমা – এক মিনিটেই ফুল ডিসচার্জ | জনি টেক | ১ মিনিটের গ্যারান্টি
 অনন্ত চার্জার – বসলেই ভাঙবে কোমর ব্যথার প্রিমিয়াম গ্যারান্টি | জনি টেক | মাইনাস ওয়ারেন্টি
 আওয়ামী ব্লেন্ডার – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | জনি টেক | লাইফটাইম সাইলেন্স
 ফাঁকা শ্যাম্পু – পিপাসা মিটবে না পেট খারাপ নিশ্চিত | ঠকবাজ টেক | মাইনাস ওয়ারেন্টি
 ভণ্ড মনিটর – মিউজিক বাজলে কান ফেটে রক্ত আসবে | ধান্দা জুস | ১৭ বছরের গ্যারান্টি
 মামুনুল পাওয়ার স্ট্রিপ – উড়াল দেবে কিন্তু ল্যান্ডিংয়ের ঠিকানা নাই | হিরো অফিসিয়াল | ৩ সেকেন্ডের ওয়ারেন্টি
 মিয়া খলিফা মাউস – পিপাসা মিটবে না পেট খারাপ নিশ্চিত | ভণ্ড | ১০-১০ ব্লাইন্ড গ্যারান্টি
 পাকনামো ফ্রিজ – ১০০% স্লো চার্জের গ্যারান্টি | ফাঁকা | নো গ্যারান্টি
 উড়াধুড়া ফ্লাইওভার – সড়ক ফাঁকা কিন্তু গাড়ি চলবে না | ডায়াল ইন্ডিয়া | গ্যারান্টি নাই
 ফাঁকি ফিল্টার – পেডেল ঘুরবে কিন্তু চাকা ঘুরবে না | খলিফা ভিশন | ৩ সেকেন্ডের ওয়ারেন্টি
 ঠকবাজ পাওয়ার স্ট্রিপ – পানি পরিষ্কার করবে না ময়লা বাড়াবে | ধান্দা ডিসপ্লে | লাইফটাইম সাইলেন্স
 ফাঁকি বাল্ব – চুক্তি হবে কিন্তু স্থায়িত্ব এক রাতের | ভণ্ড | লাইফটাইম শক
 হাসিনা ব্লেন্ডার – এক কানে সাউন্ড অন্য কানে নীরবতা | পলাইম | নো গ্যারান্টি
 হাসিনা টুথপেস্ট – ১০০% স্লো চার্জের গ্যারান্টি | ফাঁকি ওয়্যার | কোনো গ্যারান্টি নেই
 আওয়ামী মাউস – শব্দ হবে বেশি কাজ হবে জিরো | ফাঁকি ওয়্যার | লাইফটাইম ধোঁকা
 ঝাপসা জুতা – তেল খাবে বেশি চলবে কম | খলিফা ভিশন | ৩ সেকেন্ডের ওয়ারেন্টি
 অনন্ত ল্যাপটপ – কফির বদলে গরম পানি দেবে | হিরো অফিসিয়াল | জিরো টেষ্ট
 সাকিব শ্যাম্পু – তেল খাবে বেশি চলবে কম | হিরো অফিসিয়াল | ৫০ বছরের ধোঁকা
 হিরো আলম ক্যামেরা – ১০০% স্লো চার্জের গ্যারান্টি | উড়া ব্ল্যাক | ১ মিনিটের গ্যারান্টি
 হেলেনা ফিল্টার – উড়াল দেবে কিন্তু ল্যান্ডিংয়ের ঠিকানা নাই | জনি গোল্ড | ৫০ বছরের ওয়ারেন্টি
 পাকনামো ছাতা – বাটন টিপলেই স্প্রিং খুলে বাইরে আসবে | ফাঁকি ওয়্যার | জিরো ওয়ারেন্টি
 অনন্ত পেন্ট – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | ধান্দা | ১ মিনিটের গ্যারান্টি
 হাসিনা ব্লেন্ডার – পিপাসা মিটবে না পেট খারাপ নিশ্চিত | চুক্তি ফ্যাব্রিকস | লাইফটাইম ট্রমা
 ধান্দাবাজ সিম – কথা হবে চিল্লাচিল্লি তথ্যে শূন্য | ধোঁকা কাফে | ১৭ বছরের গ্যারান্টি
 উড়াধুড়া ওয়াইফাই রাউটার – গরম বাতাসে ঘর ভরিয়ে দেয় | চুক্তি ফ্যাব্রিকস | নো রিটার্ন
 পাপিয়া হেলিকপ্টার – শব্দ হবে বেশি কাজ হবে জিরো | চুক্তি ফ্যাব্রিকস | ১০০ বছরের ওয়ারেন্টি
 ধোঁকাবাজ পেনড্রাইভ – ডিসপ্লে আছে আলো নাই | ঠকবাজ নেট | ৩ সেকেন্ডের ওয়ারেন্টি
 উড়াধুড়া সাবান – ছবি উঠবে ঘোলা চেহারা হবে ভূতের মতো | ধান্দা ডিসপ্লে | এক মিনিটের ওয়ারেন্টি
 ভণ্ড বাল্ব – ডিসপ্লে আছে আলো নাই | বর্ডার এয়ার | ৫ মিনিটের ওয়ারেন্টি
 পাগলা ফ্রিজ – বাফারিং হবে লাইফটাইম | জনি টেক | এক মিনিটের ওয়ারেন্টি
 আওয়ামী ওয়াইফাই রাউটার – পেডেল ঘুরবে কিন্তু চাকা ঘুরবে না | ডায়াল ইন্ডিয়া | মাইনাস ওয়ারেন্টি
 পলাইম ব্লেন্ডার – অন করতেই অফ ব্যাটারি ডাউন | ধোঁকা কাফে | পালি গোল্ডেন ওয়ারেন্টি
 সাকিব ছাতা – ডিসপ্লে আছে আলো নাই | মি আওয়ামী | জিরো স্পীড
 পলাইম বাল্ব – সময় দেখাবে না শুধুই শূন্যতা | ওবায়দুল রোডস | মাইনাস ওয়ারেন্টি
 ফাঁকা টুথপেস্ট – সময় দেখাবে না শুধুই শূন্যতা | ঠকবাজ নেট | নো গ্যারান্টি
 অনন্ত ওয়াইফাই রাউটার – সবকিছু ঝাপসা উদাম দেখাবে | ভণ্ড | ৫০ বছরের ওয়ারেন্টি
 ভুয়া হেডফোন – উড়াল দেবে কিন্তু ল্যান্ডিংয়ের ঠিকানা নাই | ফাঁকি ওয়্যার | ৫০ বছরের ধোঁকা
 হেলেনা ক্যামেরা – কফির বদলে গরম পানি দেবে | ঠকবাজ নেট | লাইফটাইম শক
 ধোঁকাবাজ ব্লেন্ডার – মিউজিক বাজলে কান ফেটে রক্ত আসবে | ধোঁকা কাফে | নো রিটার্ন
 অনন্ত হেলিকপ্টার – ডিসপ্লে আছে আলো নাই | উড়া ব্ল্যাক | পালি গোল্ডেন ওয়ারেন্টি
 ভণ্ড বাইক – শুধু তেলের তেলতেলে ভাব কোনো কাজ নেই | ঝাপসা হোম | জিরো ওয়ারেন্টি
 ফাঁকা টুথপেস্ট – পাসপোর্ট প্রস্তুত কিন্তু ফ্লাইট মিস | জনি গোল্ড | কোনো গ্যারান্টি নেই
 ঝাপসা মনিটর – ছবি উঠবে ঘোলা চেহারা হবে ভূতের মতো | ফেক সিট | জিরো টেষ্ট
 ভুয়া এসি – শুধু তেলের তেলতেলে ভাব কোনো কাজ নেই | পাকনামো ফ্যাশন | ৫ মিনিটের ওয়ারেন্টি
 ধান্দাবাজ পাসপোর্ট – শীতে ঠাণ্ডা দেবে গরমে ঘামাবে | মি আওয়ামী | ১ সেকেন্ডের ওয়ারেন্টি
 ফাঁকা ফ্লাইওভার – ডিসপ্লে আছে আলো নাই | ফাঁকি | গ্যারান্টি নাই
 ফাঁকা হেলমেট – নামবে বেশি পৌঁছাবে কম | ধান্দা জুস | জিরো ওয়ারেন্টি
